Alloy,Al,Cr,V,Ti,Mo,Si,Nb,Zr,Ta,Hf,W,es,reference
Cr20Nb30Ti40Zr10,0,0.2,0,0.4,0,0,0.3,0.1,0,0,0,60,Materialia 16 (2021) 101057
Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0.4,0,0,0.15,0.1,0,0,0,60,Materialia 16 (2021) 101057
Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0.32,0,0,0.15,0.1,0,0,0,130,Materialia 16 (2021) 101057
Al28Cr20Nb15Ti27Zr10,0.28,0.2,0,0.27,0,0,0.15,0.1,0,0,0,155,Materialia 16 (2021) 101057
Al33Cr20Nb15Ti22Zr10,0.33,0.2,0,0.22,0,0,0.15,0.1,0,0,0,230,Materialia 16 (2021) 101057
AlNb2TiV,0.2,0,0.2,0.2,0,0,0.4,0,0,0,0,156,"Materials Letters 287 (2021) 129255/Journal of Alloys and Compounds, 2021, 885: 160962."
HfMoNbTaTi,0,0,0,0.2,0.2,0,0.2,0,0.2,0.2,0,879,"Materials & Design, 2021, 212: 110248."
MoNbTaV0.25,0,0,0.076923077,0,0.307692308,0,0.307692308,0,0.307692308,0,0,694,"Materials Science and Engineering: A, 2021, 808: 140848."
MoNbTaV0.5,0,0,0.142857143,0,0.285714286,0,0.285714286,0,0.285714286,0,0,741,"Materials Science and Engineering: A, 2021, 808: 140848."
MoNbTaV0.75,0,0,0.2,0,0.266666667,0,0.266666667,0,0.266666667,0,0,772,"Materials Science and Engineering: A, 2021, 808: 140848."
HfMoNb2TaTi2VWZr,0,0,0.1,0.2,0.1,0,0.2,0.1,0.1,0.1,0.1,502,"Advanced Engineering Materials, 2021, 23(8): 2100225."
HfNbTaTiWZr,0,0,0,0.166666667,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,409,"Journal of Alloys and Compounds, 2019, 803: 778-785."
HfMoNbTaTiWZr,0,0,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,736,"Journal of Alloys and Compounds, 2019, 803: 778-785."
HfNbTaTiZr,0,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0,295,"Acta Materialia, 2019, 171: 132-145."
Al20Cr21Mo27Ti22W10,0.2,0.21,0,0.22,0.27,0,0,0,0,0,0.1,210,"Vacuum, 2020, 181: 109614."
Hf32Mo6Nb50Ta5W7,0,0,0,0,0.06,0,0.5,0,0.05,0.32,0.07,674,our lab
Hf31Mo7Nb50Ta5W7,0,0,0,0,0.07,0,0.5,0,0.05,0.31,0.07,707,our lab
Hf34Mo7Nb41Ta12W6,0,0,0,0,0.07,0,0.41,0,0.12,0.34,0.06,696,our lab
Hf9Mo21Nb50Ta15W5,0,0,0,0,0.21,0,0.5,0,0.15,0.09,0.05,701,our lab
Hf22Mo15Nb49Ta9W5,0,0,0,0,0.15,0,0.49,0,0.09,0.22,0.05,784,our lab
Hf22Mo15Nb50Ta8W5,0,0,0,0,0.15,0,0.5,0,0.08,0.22,0.05,731,our lab
Hf34Mo5Nb49Ta5W7,0,0,0,0,0.05,0,0.49,0,0.05,0.34,0.07,677,our lab
Hf33Mo5Nb50Ta5W7,0,0,0,0,0.05,0,0.5,0,0.05,0.33,0.07,656,our lab
